Family	Count	Hits	TotMarkerLength
YP_002559849	0.0	0	85
YP_002633428	0.0	0	81
YP_002633439	0.0	0	99
YP_002640141	0.0	0	100
YP_002773891	0.0	0	35
YP_002775228	0.0	0	62
YP_002800019	0.0	0	24
YP_002886367	0.0	0	89
YP_002890644	0.0	0	37
YP_002918846	0.0	0	76
YP_002929946	0.0	0	66
YP_002931998	0.0	0	102
YP_002932544	0.0	0	11
YP_002937728	0.0	0	38
YP_002939420	0.0	0	38
YP_049275	0.0	0	102
YP_069175	0.0	0	30
YP_078703	0.0	0	83
YP_080399	0.0	0	9
YP_106067	0.0	0	11
YP_152755	0.0	0	8
YP_157958	0.0	0	61
YP_176746	0.0	0	73
YP_185297	0.0	0	112
YP_187539	4.855410912648672	43	248
YP_195816	0.0	0	195
YP_209353	0.0	0	159
YP_233000	0.0	0	296
YP_245409	0.0	0	222
YP_245472	0.0	0	183
YP_251227	0.0	0	94
YP_254114	0.0	0	113
YP_254125	0.0	0	46
YP_261151	0.0	0	121
YP_264987	0.0	0	65
YP_271816	0.0	0	117
YP_274443	0.0	0	19
YP_277581	0.0	0	190
YP_298289	0.0	0	48
YP_302016	0.0	0	40
YP_302113	0.0	0	100
YP_302125	0.0	0	32
YP_302230	0.0	0	127
YP_310429	0.0	0	38
YP_316450	0.0	0	71
YP_348389	0.0	0	21
YP_349555	0.0	0	21
YP_403947	0.0	0	20
YP_405004	0.0	0	27
YP_410370	0.0	0	67
YP_415591	0.0	0	296
YP_442964	0.0	0	45
YP_453937	0.0	0	29
YP_454364	0.0	0	60
YP_473355	0.0	0	81
YP_542447	0.0	2	40
YP_550152	0.0	0	9
YP_561834	0.0	0	187
YP_589046	0.0	0	168
YP_603198	0.0	0	87
YP_621023	0.0	0	60
YP_672241	0.0	2	72
YP_691152	0.0	0	63
YP_698526	0.0	0	121
YP_776582	0.0	0	39
YP_788128	0.0	0	151
YP_790742	0.0	0	49
YP_857635	0.0	0	105
YP_878662	0.0	0	33
YP_884847	0.0	0	113
YP_889433	0.0	0	151
YP_894098	0.0	0	35
YP_906603	0.0	0	33
YP_966872	0.0	0	35
YP_970399	0.0	0	15
YP_976075	0.0	0	88
YP_997055	0.0	0	57
adeA-adeI_1	0.0	0	33
adeB_1	0.0	0	23
adeC-adeK-oprM_0	0.0	0	102
adeC-adeK-oprM_1	0.0	0	91
adeC-adeK-oprM_2	0.0	0	209
adeC-adeK-oprM_4	0.0	0	113
adeC-adeK-oprM_5	0.0	0	34
adeR_0	0.0	0	80
adeS_1	0.0	0	97
baeR_0	0.0	0	56
baeR_2	0.0	0	14
baeS_1	0.0	1	56
blaI_0	0.0	0	95
blaR1_0	0.0	2	297
emrB_1	0.0	0	135
emrB_10	0.0	0	102
emrB_4	0.0	0	146
emrB_6	0.0	0	139
emrB_9	0.0	0	77
emrE_0	0.0	0	8
macA_0	0.0	0	64
macA_1	0.0	0	114
macA_2	0.0	0	127
macA_3	0.0	0	50
macB_0	0.0	0	112
macB_1	0.0	0	17
macB_2	0.0	0	24
macB_3	0.0	0	8
macB_4	0.0	0	8
macB_5	0.0	0	131
macB_6	0.0	0	50
macB_7	0.0	0	95
marA_1	0.0	0	61
mecR1_0	0.0	0	300
mprF_0	0.0	0	300
mprF_1	0.0	0	233
mprF_2	0.0	0	177
msbA_0	0.0	0	52
msbA_1	0.0	0	24
msbA_2	0.0	0	174
msbA_3	0.0	0	257
msbA_4	0.0	0	300
msbA_5	0.0	0	11
phoQ_0	0.0	0	106
phoQ_1	0.0	0	34
ramA_0	0.0	0	43
robA_0	0.0	0	30
robA_1	0.0	0	22
romA_0	0.0	0	67
soxR_0	0.0	0	36
soxR_1	0.0	0	54
soxR_2	0.0	0	49
soxR_4	0.0	0	54
soxR_5	0.0	0	31
tolC_0	0.0	0	141
tolC_1	0.0	0	300
tolC_3	0.0	0	179
vanC_1	0.0	0	181
vanH_2	0.0	0	64
vanH_4	0.0	0	100
vanR_2	0.0	0	27
vanR_4	0.0	0	101
vanR_6	0.0	0	51
vanR_7	0.0	0	35
vanR_9	0.0	0	9
vanS_11	0.0	0	77
vanS_12	0.0	0	71
vanS_2	0.0	0	149
vanS_6	0.0	0	32
vanS_8	0.0	0	236
vanS_9	0.0	0	139
vanT_2	0.0	0	223
vanW_2	0.0	0	45
vanX_1	0.0	0	56
vanX_3	0.0	0	65
vanX_5	0.0	0	27
vanX_7	0.0	0	27
vanY_1	0.0	0	73
